"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.765572821,
"AUS","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.766574279,
"AUS","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.769862119,
"AUS","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.423590271,
"AUS","QGDP","TOT","PC_CHGPP","Q","2005-Q3",1.114247425,
"AUS","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.785436648,
"AUS","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.118665921,
"AUS","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.18747507,
"AUS","QGDP","TOT","PC_CHGPP","Q","2006-Q3",1.489031333,
"AUS","QGDP","TOT","PC_CHGPP","Q","2006-Q4",1.310266369,
"AUS","QGDP","TOT","PC_CHGPP","Q","2007-Q1",1.390955608,
"AUS","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.607781679,
"AUS","QGDP","TOT","PC_CHGPP","Q","2007-Q3",1.141247319,
"AUS","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.43885517,
"AUS","QGDP","TOT","PC_CHGPP","Q","2008-Q1",1.035091138,
"AUS","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.285841847,
"AUS","QGDP","TOT","PC_CHGPP","Q","2008-Q3",0.709143259,
"AUS","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-0.445194282,
"AUS","QGDP","TOT","PC_CHGPP","Q","2009-Q1",0.911711153,
"AUS","QGDP","TOT","PC_CHGPP","Q","2009-Q2",0.747253777,
"AUS","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.283762725,
"AUS","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.787545646,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.434419083,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.640536054,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.700459384,
"AUS","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.918657258,
"AUS","QGDP","TOT","PC_CHGPP","Q","2011-Q1",-0.302186997,
"AUS","QGDP","TOT","PC_CHGPP","Q","2011-Q2",1.270086187,
"AUS","QGDP","TOT","PC_CHGPP","Q","2011-Q3",1.346117339,
"AUS","QGDP","TOT","PC_CHGPP","Q","2011-Q4",1.110027222,
"AUS","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.947949398,
"AUS","QGDP","TOT","PC_CHGPP","Q","2012-Q2",0.717870983,
"AUS","QGDP","TOT","PC_CHGPP","Q","2012-Q3",0.59112228,
"AUS","QGDP","TOT","PC_CHGPP","Q","2012-Q4",0.515662787,
"AUS","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.425018021,
"AUS","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.399448137,
"AUS","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.785040134,
"AUS","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.832588648,
"AUS","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.757646704,
"AUS","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.433215452,
"AUS","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.475136051,
"AUS","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.393587578,
"AUS","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.906714882,
"AUS","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.085155453,
"AUS","QGDP","TOT","PC_CHGPP","Q","2015-Q3",1.042488323,
"AUS","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.627153098,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.857287928,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.630262541,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.131833212,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.077293215,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.237389102,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.652067632,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.972921371,
"AUS","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.453139805,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.862388859,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.879679205,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.410944112,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.136150216,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.417418933,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.69778376,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.803162955,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.390628883,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.293663366,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.792819309,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.416049809,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.268596012,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.820594162,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.703263543,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.922074081,
"GBR","QGDP","TOT","PC_CHGPP","Q","2003-Q3",0.981985845,
"GBR","QGDP","TOT","PC_CHGPP","Q","2003-Q4",0.791027155,
"GBR","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.446923347,
"GBR","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.54316137,
"GBR","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.246693284,
"GBR","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.348659208,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.607756489,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.963318523,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.882092924,
"GBR","QGDP","TOT","PC_CHGPP","Q","2005-Q4",1.092055496,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.52996235,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.345980978,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.232546297,
"GBR","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.638018628,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.783737963,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.463747548,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.682438581,
"GBR","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.385228837,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.603271437,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q2",-0.45050659,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-1.490218453,
"GBR","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-2.005279354,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-1.802244248,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.313933676,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.063201652,
"GBR","QGDP","TOT","PC_CHGPP","Q","2009-Q4",0.3103824,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q1",0.698471499,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.133482316,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q3",0.700938054,
"GBR","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.120686818,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q1",0.46235612,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q2",0.101107568,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q3",0.319361612,
"GBR","QGDP","TOT","PC_CHGPP","Q","2011-Q4",0.127212644,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q1",0.677605433,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.05884998,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q3",1.224551575,
"GBR","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.246822544,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q1",0.459137577,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.657147062,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.767182928,
"GBR","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.525966842,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.932765882,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.806169711,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.677173328,
"GBR","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.560482829,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q1",0.644738174,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.738449044,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.537252584,
"GBR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.679861698,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.441647198,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.577337338,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.445252857,
"GBR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.73929692,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.649836103,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.310747896,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.428297394,
"GBR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.402869485,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.236706446,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.54664776,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.631727016,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.335440843,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.641957711,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.13273242,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.45897235,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-0.044750089,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.637367304,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-19.449477922,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",17.57247971,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.50247662,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.170349138,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",5.648425902,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.988887018,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",0.963245341,
"ESP","QGDP","TOT","PC_CHGPP","Q","2003-Q3",0.659429635,
"ESP","QGDP","TOT","PC_CHGPP","Q","2003-Q4",0.864495959,
"ESP","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.603043582,
"ESP","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.97698308,
"ESP","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.940418575,
"ESP","QGDP","TOT","PC_CHGPP","Q","2004-Q4",0.684310959,
"ESP","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.976289542,
"ESP","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.882073444,
"ESP","QGDP","TOT","PC_CHGPP","Q","2005-Q3",0.966995513,
"ESP","QGDP","TOT","PC_CHGPP","Q","2005-Q4",1.01386663,
"ESP","QGDP","TOT","PC_CHGPP","Q","2006-Q1",1.145103991,
"ESP","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.969214739,
"ESP","QGDP","TOT","PC_CHGPP","Q","2006-Q3",0.929139945,
"ESP","QGDP","TOT","PC_CHGPP","Q","2006-Q4",0.961484836,
"ESP","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.914765508,
"ESP","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.896255506,
"ESP","QGDP","TOT","PC_CHGPP","Q","2007-Q3",0.766768541,
"ESP","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.642845606,
"ESP","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.215766273,
"ESP","QGDP","TOT","PC_CHGPP","Q","2008-Q2",0.10925228,
"ESP","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-0.184139804,
"ESP","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-1.614017593,
"ESP","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-2.605535405,
"ESP","QGDP","TOT","PC_CHGPP","Q","2009-Q2",-0.010778265,
"ESP","QGDP","TOT","PC_CHGPP","Q","2009-Q3",0.211128086,
"ESP","QGDP","TOT","PC_CHGPP","Q","2009-Q4",-0.020400669,
"ESP","QGDP","TOT","PC_CHGPP","Q","2010-Q1",-0.028195768,
"ESP","QGDP","TOT","PC_CHGPP","Q","2010-Q2",0.149925037,
"ESP","QGDP","TOT","PC_CHGPP","Q","2010-Q3",-0.051135353,
"ESP","QGDP","TOT","PC_CHGPP","Q","2010-Q4",0.067103146,
"ESP","QGDP","TOT","PC_CHGPP","Q","2011-Q1",-0.155975029,
"ESP","QGDP","TOT","PC_CHGPP","Q","2011-Q2",-0.316890172,
"ESP","QGDP","TOT","PC_CHGPP","Q","2011-Q3",-0.648079214,
"ESP","QGDP","TOT","PC_CHGPP","Q","2011-Q4",-0.648559942,
"ESP","QGDP","TOT","PC_CHGPP","Q","2012-Q1",-0.937141737,
"ESP","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.961234644,
"ESP","QGDP","TOT","PC_CHGPP","Q","2012-Q3",-0.509690265,
"ESP","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.762656859,
"ESP","QGDP","TOT","PC_CHGPP","Q","2013-Q1",-0.319631859,
"ESP","QGDP","TOT","PC_CHGPP","Q","2013-Q2",-0.087487355,
"ESP","QGDP","TOT","PC_CHGPP","Q","2013-Q3",-0.054727477,
"ESP","QGDP","TOT","PC_CHGPP","Q","2013-Q4",0.16661908,
"ESP","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.367436031,
"ESP","QGDP","TOT","PC_CHGPP","Q","2014-Q2",0.463352007,
"ESP","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.740035085,
"ESP","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.858377348,
"ESP","QGDP","TOT","PC_CHGPP","Q","2015-Q1",1.147594092,
"ESP","QGDP","TOT","PC_CHGPP","Q","2015-Q2",1.072777012,
"ESP","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.910029713,
"ESP","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.969062415,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.677651054,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.41940912,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.88706963,
"ESP","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.464567325,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.793789658,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.073786986,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q3",0.577280996,
"ESP","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.62554452,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.377842041,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.586193572,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.51760509,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.674983961,
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.601311089,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.365570965,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.37901041,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.376576034,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.391222646,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.652092761,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.798457005,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q4",0.222620107,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-0.669664875,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q2",1.192779327,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q3",2.630039,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2021-Q4",2.011580755,"P"
"JPN","QGDP","TOT","PC_CHGPP","Q","2003-Q3",0.29478826,
"JPN","QGDP","TOT","PC_CHGPP","Q","2003-Q4",1.088073015,
"JPN","QGDP","TOT","PC_CHGPP","Q","2004-Q1",0.734395772,
"JPN","QGDP","TOT","PC_CHGPP","Q","2004-Q2",0.016466284,
"JPN","QGDP","TOT","PC_CHGPP","Q","2004-Q3",0.611643653,
"JPN","QGDP","TOT","PC_CHGPP","Q","2004-Q4",-0.194202492,
"JPN","QGDP","TOT","PC_CHGPP","Q","2005-Q1",0.515142751,
"JPN","QGDP","TOT","PC_CHGPP","Q","2005-Q2",0.78092818,
"JPN","QGDP","TOT","PC_CHGPP","Q","2005-Q3",1.014260746,
"JPN","QGDP","TOT","PC_CHGPP","Q","2005-Q4",0.173084581,
"JPN","QGDP","TOT","PC_CHGPP","Q","2006-Q1",0.153653824,
"JPN","QGDP","TOT","PC_CHGPP","Q","2006-Q2",0.164013317,
"JPN","QGDP","TOT","PC_CHGPP","Q","2006-Q3",-0.19997591,
"JPN","QGDP","TOT","PC_CHGPP","Q","2006-Q4",1.339622116,
"JPN","QGDP","TOT","PC_CHGPP","Q","2007-Q1",0.661949192,
"JPN","QGDP","TOT","PC_CHGPP","Q","2007-Q2",0.046983349,
"JPN","QGDP","TOT","PC_CHGPP","Q","2007-Q3",-0.54251844,
"JPN","QGDP","TOT","PC_CHGPP","Q","2007-Q4",0.423889971,
"JPN","QGDP","TOT","PC_CHGPP","Q","2008-Q1",0.353357092,
"JPN","QGDP","TOT","PC_CHGPP","Q","2008-Q2",-0.567317126,
"JPN","QGDP","TOT","PC_CHGPP","Q","2008-Q3",-1.246661865,
"JPN","QGDP","TOT","PC_CHGPP","Q","2008-Q4",-2.474369691,
"JPN","QGDP","TOT","PC_CHGPP","Q","2009-Q1",-4.808010488,
"JPN","QGDP","TOT","PC_CHGPP","Q","2009-Q2",1.963229732,
"JPN","QGDP","TOT","PC_CHGPP","Q","2009-Q3",-0.04444675,
"JPN","QGDP","TOT","PC_CHGPP","Q","2009-Q4",1.23382874,
"JPN","QGDP","TOT","PC_CHGPP","Q","2010-Q1",1.052701833,
"JPN","QGDP","TOT","PC_CHGPP","Q","2010-Q2",1.20076295,
"JPN","QGDP","TOT","PC_CHGPP","Q","2010-Q3",1.814213184,
"JPN","QGDP","TOT","PC_CHGPP","Q","2010-Q4",-0.816572242,
"JPN","QGDP","TOT","PC_CHGPP","Q","2011-Q1",-1.059534428,
"JPN","QGDP","TOT","PC_CHGPP","Q","2011-Q2",-0.859104907,
"JPN","QGDP","TOT","PC_CHGPP","Q","2011-Q3",2.432176915,
"JPN","QGDP","TOT","PC_CHGPP","Q","2011-Q4",-0.141893299,
"JPN","QGDP","TOT","PC_CHGPP","Q","2012-Q1",1.373454907,
"JPN","QGDP","TOT","PC_CHGPP","Q","2012-Q2",-0.897936171,
"JPN","QGDP","TOT","PC_CHGPP","Q","2012-Q3",-0.373529284,
"JPN","QGDP","TOT","PC_CHGPP","Q","2012-Q4",-0.07352438,
"JPN","QGDP","TOT","PC_CHGPP","Q","2013-Q1",1.374829293,
"JPN","QGDP","TOT","PC_CHGPP","Q","2013-Q2",0.904186503,
"JPN","QGDP","TOT","PC_CHGPP","Q","2013-Q3",0.964297533,
"JPN","QGDP","TOT","PC_CHGPP","Q","2013-Q4",-0.116491054,
"JPN","QGDP","TOT","PC_CHGPP","Q","2014-Q1",0.808302362,
"JPN","QGDP","TOT","PC_CHGPP","Q","2014-Q2",-1.814711845,
"JPN","QGDP","TOT","PC_CHGPP","Q","2014-Q3",0.094366633,
"JPN","QGDP","TOT","PC_CHGPP","Q","2014-Q4",0.474880801,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q1",1.535071604,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.14385764,
"JPN","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.090367098,
